,Price,AskP0,AskPriceV5,AskV0,BidP0,BidPriceV5,BidV0,isadd3,isadd_ori,MedianBid,CountBid,MedianAsk,CountAsk,HighPrice,LowPrice,AskP0_delta,BidP0_delta,AskPriceV5_delte,BidPriceV5_delte
179,704,704,704,500,703.88,703.69,100,0,0,704.37,5,704.01,9,704.73,704,-0.01,-0.19,-0.01,-0.09
180,703.69,703.99,703.99,800,703.69,703.6,400,0,2,703.995,2,703.8,3,704,703.69,0,-0.09,0.01,0
181,703.99,703.99,704,300,703.6,703.6,1200,0,0,703.99,4,703.69,1,703.99,703.69,-0.99,-0.72,-1,-1.05
182,703,703,703,6500,702.88,702.55,200,1,1,703,0,703.04,20,703.6,703,0,-0.13,0,-0.04
183,703,703,703,5500,702.75,702.51,100,0,0,703,1,702.88,2,703,702.88,0,0.07,0,0
184,702.88,703,703,5500,702.82,702.51,100,0,2,702.88,5,702.75,1,703,702.75,0,0.08,0,0.07
185,703,703,703,4600,702.9,702.58,100,0,0,703,5,702.82,1,703,702.82,-0.21,-0.32,-0.21,0
186,702.6,702.79,702.79,5700,702.58,702.58,900,0,0,702.79,5,702.75,2,702.9,702.6,-0.04,0,0.02,-0.03
187,702.58,702.75,702.81,300,702.58,702.55,200,0,1,702.79,7,702.58,3,702.81,702.58,-0.17,-0.36,-0.23,-0.33
188,702.58,702.58,702.58,700,702.22,702.22,2100,0,1,702.58,3,702.5,11,702.75,702.22,0,0,0.17,0
189,702.58,702.58,702.75,200,702.22,702.22,900,1,0,702.58,14,702.22,3,702.75,702.22,0.02,0.15,-0.15,0.15
190,702.22,702.6,702.6,2400,702.37,702.37,1100,1,0,702.66,8,702.58,8,702.81,702.22,-0.38,-0.17,-0.02,-0.36
191,702.2,702.22,702.58,200,702.2,702.01,100,1,2,702.2,0,702.295,8,702.37,702.2,0.36,-0.11,0,0
192,702.22,702.58,702.58,1200,702.09,702.01,100,2,2,702.54,4,702.22,8,702.58,702.2,0,0.46,0,0.09
193,702.37,702.58,702.58,1000,702.55,702.1,100,2,2,702.58,4,702.25,3,702.58,702.09,-0.21,-0.31,0,0.14
194,702.58,702.37,702.58,300,702.24,702.24,3200,2,0,702.58,8,702.3,7,702.58,702.24,0.28,0.01,0.07,0
195,702.3,702.65,702.65,600,702.25,702.24,300,2,2,702.55,10,702.3,3,702.6,702.25,0.34,0.5,0.34,0.51
196,702.37,702.99,702.99,1200,702.75,702.75,1100,2,2,702.4,17,702.25,5,702.99,702.25,0.7,0.26,0.86,0
197,703.01,703.69,703.85,300,703.01,702.75,400,1,0,702.995,4,703.01,2,703.01,702.99,0,-0.43,0,-0.17
198,702.5,703.69,703.85,300,702.58,702.58,5700,2,2,702.5,0,702.59,18,703.01,702.5,0,0.42,0,0.42
199,703,703.69,703.85,300,703,703,1700,2,2,702.75,3,702.595,6,703,702.59,0.16,0.01,0,0
200,703.01,703.85,703.85,800,703.01,703,200,2,0,703.35,2,703.345,2,703.69,703,-0.84,-0.01,0,0
201,703,703.01,703.85,100,703,703,1500,1,2,703.01,1,703,3,703.01,703,0.84,0.02,0,0.02
202,703.02,703.85,703.85,800,703.02,703.02,700,1,1,703.01,1,703.2,10,703.43,703,0,0.67,0,0.26
203,703.02,703.85,703.85,800,703.69,703.28,400,2,2,703.02,0,703.02,1,703.02,703.02,0,0,0,0
204,703.69,703.85,703.85,800,703.69,703.28,100,2,2,703.69,0,703.69,1,703.69,703.69,-0.16,-0.41,-0.05,-0.25
205,703.8,703.69,703.8,100,703.28,703.03,100,2,0,703.8,4,703.69,5,703.8,703.28,0.3,0.57,0.2,0.47
206,703.69,703.99,704,100,703.85,703.5,100,2,2,703.69,3,703.595,2,703.69,703.5,0.56,0.15,0.77,0.35
207,704,704.55,704.77,300,704,703.85,400,1,0,704,4,704,7,704.37,703.85,-0.07,-0.2,0,-0.16
208,703.8,704.48,704.77,100,703.8,703.69,100,1,0,704,1,703.85,7,704,703.8,-0.48,0.05,-0.77,0
209,703.7,704,704,800,703.85,703.69,100,1,2,704.48,5,703.8,5,704.55,703.7,0,-0.05,0,0.01
210,703.85,704,704,600,703.8,703.7,400,2,2,704,1,703.85,3,704,703.85,0.5,0.68,0.5,0.1
211,704.5,704.5,704.5,800,704.48,703.8,200,2,0,704.48,3,704.5,0,704.5,704,-0.5,-0.6,-0.1,0
212,703.99,704,704.4,100,703.88,703.8,100,2,2,704.5,1,704.24,4,704.5,703.99,-0.1,-0.02,0.1,0
213,704.4,703.9,704.5,300,703.86,703.8,100,1,0,704.2,2,703.88,1,704.4,703.88,0.4,0.14,-0.2,0.2
214,704,704.3,704.3,500,704,704,1300,1,2,703.9,2,704,2,704,703.9,0,0,0.15,0
215,704.3,704.3,704.45,300,704,704,1500,0,0,704.3,1,704.3,0,704.3,704.3,0,0.01,0,0.01
216,704.01,704.3,704.45,300,704.01,704.01,700,0,0,704.01,0,704.01,2,704.01,704.01,0,-0.01,-0.15,-0.01
217,704,704.3,704.3,600,704,704,1100,0,2,704.3,1,704.01,5,704.3,704,-0.05,0,-0.05,0
218,704.01,704.25,704.25,600,704,704,500,0,0,704.3,1,704,8,704.3,704,-0.25,-0.01,-0.25,-0.15
219,704,704,704,2100,703.99,703.85,100,0,0,704,6,704,7,704.25,703.94,-0.01,-0.07,0,0
220,703.99,703.99,704,300,703.92,703.85,100,0,2,704,2,703.99,2,704,703.99,0.01,-0.02,0,0
221,704,704,704,2000,703.9,703.85,100,0,0,704,3,703.92,1,704,703.92,-0.11,-0.03,-0.01,0
222,703.89,703.89,703.99,400,703.87,703.85,200,2,0,703.9,3,703.9,1,703.99,703.89,0.01,0,-0.04,-0.05
223,703.87,703.9,703.95,100,703.87,703.8,100,2,2,703.94,4,703.87,1,703.99,703.87,0.05,-0.01,0.04,0
224,703.95,703.95,703.99,300,703.86,703.8,100,2,0,703.925,4,703.87,1,703.95,703.87,0.05,0.02,0.01,0.08
225,703.88,704,704,1100,703.88,703.88,900,0,2,703.995,6,703.88,1,704,703.88,0,0,0,0
226,704,704,704,1000,703.88,703.88,700,0,0,703.975,2,703.88,2,704,703.88,0,0,0,-0.08
227,703.88,704,704,1100,703.88,703.8,100,0,1,703.88,0,703.88,5,703.99,703.88,-0.12,-0.02,-0.12,0
228,703.88,703.88,703.88,1100,703.86,703.8,200,2,2,703.88,3,703.88,1,704,703.88,0,0,0.07,0
229,703.95,703.88,703.95,100,703.86,703.8,200,2,0,703.88,8,703.86,9,703.95,703.85,-0.01,0,0,0
230,703.88,703.87,703.95,100,703.86,703.8,200,2,2,703.88,1,703.88,0,703.88,703.88,0.09,0.02,0.05,0.05
231,703.95,703.96,704,100,703.88,703.85,200,2,1,703.95,3,703.95,0,703.95,703.87,0,0.05,0,0.03
232,703.95,703.96,704,100,703.93,703.88,300,2,0,703.95,1,703.95,0,703.95,703.95,-0.02,0,0,0.05
233,703.93,703.94,704,100,703.93,703.93,600,2,2,703.96,1,703.93,1,703.96,703.93,0.06,0,0,-0.03
234,704,704,704,1400,703.93,703.9,400,1,0,703.96,3,703.93,1,704,703.93,0,0.03,0,-0.02
235,703.89,704,704,1400,703.96,703.88,100,2,2,704,1,703.915,4,704,703.89,0,-0.08,0,0
236,703.96,704,704,1400,703.88,703.88,700,2,2,703.96,0,703.96,2,703.96,703.96,0,0.08,0.01,0
237,704,704,704.01,200,703.96,703.88,100,2,0,704,8,704,0,704,703.93,0.01,0.04,0,0.07
